,name,sex,age,is_adult,job,class_dept,is_passenger,joined,boat_body,ticketprice,survived
29,"ALLISON, Miss Helen Loraine",Female,2.0,False,unknown,1st Class Passenger,True,Southampton,unknown,151.8,False
28,"ALLISON, Mrs Bess Waldo",Female,25.0,True,unknown,1st Class Passenger,True,Southampton,unknown,151.8,False
27,"ALLISON, Mr Hudson Joshua Creighton",Male,30.0,True,Businessman,1st Class Passenger,True,Southampton,[135],151.8,False
31,"ALLSOP, Mr Alfred Samuel",Male,36.0,True,2nd Electrician,Engineering Crew,False,Belfast,unknown,0.0,False
30,"ALLSOP, Mr Frank Richard",Male,43.0,True,Saloon Steward,Victualling Crew,False,Belfast,unknown,0.0,False
32,"ALLUM, Mr Owen George",Male,17.0,False,Gardener,3rd Class Passenger,True,Southampton,[259],8.3,False
33,"ANDERSEN, Mr Albert Kaurin",Male,33.0,True,Engineer,3rd Class Passenger,True,Southampton,[260],22.525,False
1513,"ANDERSEN-JENSEN, Miss Carla Christine Nielsine",Female,19.0,True,unknown,3rd Class Passenger,True,Southampton,16,7.854166666666666,True
1514,"ANDERSON, Mr Henry",Male,42.0,True,Stockbroker,1st Class Passenger,True,Southampton,3,26.55,True
1515,"ANDERSON, Mr John",Male,42.0,True,Able Seaman,Deck Crew,False,Southampton,3,0.0,True
34,"ANDERSON, Mr Walter Yuill",Male,50.0,True,Bed Room Steward,Victualling Crew,False,Southampton,[146],0.0,False
41,"ANDERSSON, MasterSigvard Harald Elias",Male,4.0,False,unknown,3rd Class Passenger,True,Southampton,unknown,31.275,False
35,"ANDERSSON, MissIngeborg Constanzia",Female,9.0,False,unknown,3rd Class Passenger,True,Southampton,unknown,31.275,False
38,"ANDERSSON, Miss Ebba Iris Alfrida",Female,6.0,False,unknown,3rd Class Passenger,True,Southampton,unknown,31.275,False
43,"ANDERSSON, Miss Ellis Anna Maria",Female,2.0,False,unknown,3rd Class Passenger,True,Southampton,unknown,31.275,False
1516,"ANDERSSON, Miss Erna Alexandra",Female,16.0,False,unknown,3rd Class Passenger,True,Southampton,unknown,7.925000000000001,True
40,"ANDERSSON, Miss Ida Augusta Margareta",Female,38.0,True,unknown,3rd Class Passenger,True,Southampton,unknown,7.775,False
39,"ANDERSSON, Miss Sigrid Elisabeth",Female,11.0,False,unknown,3rd Class Passenger,True,Southampton,unknown,31.275,False
36,"ANDERSSON, Mrs Alfrida Konstantia Brogren",Female,39.0,True,unknown,3rd Class Passenger,True,Southampton,unknown,31.275,False
42,"ANDERSSON, Mr Anders Johan",Male,39.0,True,General Labourer,3rd Class Passenger,True,Southampton,unknown,31.275,False
37,"ANDERSSON, Mr Johan Samuel",Male,26.0,True,Carpenter / Joiner,3rd Class Passenger,True,Southampton,unknown,7.775,False
44,"ANDREASSON, Mr Pål Edvin",Male,20.0,True,General Labourer,3rd Class Passenger,True,Southampton,unknown,7.854166666666666,False
46,"ANDREW, Mr Edgar Samuel",Male,17.0,False,unknown,2nd Class Passenger,True,Southampton,unknown,11.5,False
45,"ANDREW, Mr Frank Thomas",Male,26.0,True,Miner,2nd Class Passenger,True,Southampton,unknown,10.5,False
1517,"ANDREWS, Miss Kornelia Theodosia",Female,62.0,True,unknown,1st Class Passenger,True,Cherbourg,10,77.95833333333334,True
1518,"ANDREWS, Mr Charles Edward",Male,19.0,True,Saloon Steward (2nd class),Victualling Crew,False,Southampton,16,0.0,True
47,"ANDREWS, Mr Thomas",Male,39.0,True,Shipbuilder,1st Class Passenger,True,Belfast,unknown,0.0,False
1519,"ANGLE, Mrs Florence Agnes",Female,36.0,True,unknown,2nd Class Passenger,True,Southampton,11,26.0,True
48,"ANGLE, Mr William",Male,31.0,True,Tile Maker,2nd Class Passenger,True,Southampton,unknown,26.0,False
1520,"APPLETON, Mrs Charlotte",Female,53.0,True,unknown,1st Class Passenger,True,Southampton,2,51.47916666666667,True
1521,"ARCHER, Mr Ernest Edward",Male,35.0,True,Able Seaman,Deck Crew,False,Southampton,16,0.0,True
50,"ARNOLD-FRANCHI, MrJosef",Male,25.0,True,General Labourer,3rd Class Passenger,True,Southampton,unknown,17.8,False
49,"ARNOLD-FRANCHI, MrsJosefine",Female,18.0,True,unknown,3rd Class Passenger,True,Southampton,unknown,17.8,False
51,"ARONSSON, Mr Ernst Axel Algot",Male,25.0,True,General Labourer,3rd Class Passenger,True,Southampton,unknown,7.775,False
52,"ARTAGAVEYTIA, MrRamon",Male,71.0,True,Businessman,1st Class Passenger,True,Cherbourg,[22],49.50416666666667,False
53,"ASHBY, Mr John",Male,57.0,True,unknown,2nd Class Passenger,True,Southampton,unknown,13.0,False
54,"ASHCROFT, Mr Austin Aloysius",Male,26.0,True,Clerk,Victualling Crew,False,Southampton,unknown,0.0,False
55,"ASHE, Mr Henry Wellesley",Male,41.0,True,Glory hole steward (3rd class),Victualling Crew,False,Southampton,[34],0.0,False
56,"ASIM, Mr Adola",Male,35.0,True,General Labourer,3rd Class Passenger,True,Southampton,unknown,7.05,False
57,"ASPESLAGH, Mr Georges",Male,26.0,True,Assistant Plateman,Restaurant Staff,False,Southampton,unknown,0.0,False
58,"ASPLUND, MasterClarence Gustaf Hugo",Male,9.0,False,unknown,3rd Class Passenger,True,Southampton,unknown,31.387500000000003,False
60,"ASPLUND, Master Carl Edgar",Male,5.0,False,unknown,3rd Class Passenger,True,Southampton,unknown,31.387500000000003,False
1522,"ASPLUND, Master Edvin Rojj Felix",Male,3.0,False,unknown,3rd Class Passenger,True,Southampton,15,31.387500000000003,True
61,"ASPLUND, Master Filip Oscar",Male,13.0,False,unknown,3rd Class Passenger,True,Southampton,unknown,31.387500000000003,False
1523,"ASPLUND, Miss Lillian Gertrud",Female,5.0,False,unknown,3rd Class Passenger,True,Southampton,15,31.387500000000003,True
1525,"ASPLUND, Mrs Selma Augusta Emilia",Female,38.0,True,unknown,3rd Class Passenger,True,Southampton,15,31.387500000000003,True
59,"ASPLUND, Mr Carl Oscar Vilhelm Gustafsson",Male,40.0,True,General Labourer,3rd Class Passenger,True,Southampton,[142],31.387500000000003,False
1524,"ASPLUND, Mr Johan Charles",Male,23.0,True,unknown,3rd Class Passenger,True,Southampton,13,7.795833333333333,True
62,"ASSAM, Mr Ali",Male,23.0,True,General Labourer,3rd Class Passenger,True,Southampton,unknown,7.05,False
63,"ASTOR, Colonel John Jacob",Male,47.0,True,Property Developer / Real Estate,1st Class Passenger,True,Cherbourg,[124],247.525,False
1526,"ASTOR, Mrs Madeleine Talmage",Female,18.0,True,unknown,1st Class Passenger,True,Cherbourg,4,247.525,True
65,"ATTALA, Mr Sleiman Khalil",Male,27.0,True,Journalist,3rd Class Passenger,True,Cherbourg,unknown,7.2250000000000005,False
64,"ATĀ ALLĀH, Miss Malakah",Female,18.0,True,unknown,3rd Class Passenger,True,Cherbourg,unknown,14.458333333333332,False
1527,"AUBART, Mme. Léontine Pauline",Female,24.0,True,Singer,1st Class Passenger,True,Cherbourg,9,69.3,True
66,"AUGUSTSSON, Mr Albert",Male,23.0,True,General Labourer,3rd Class Passenger,True,Southampton,unknown,7.854166666666666,False
1528,"AVERY, Mr James Albert",Male,20.0,True,Trimmer,Engineering Crew,False,Southampton,15,0.0,True
67,"AYLING, Mr Edwin George",Male,23.0,True,Assistant Vegetable Cook,Victualling Crew,False,Southampton,unknown,0.0,False
1529,"AYYŪB-DĀHIR, Miss Bannūrah",Female,15.0,False,unknown,3rd Class Passenger,True,Cherbourg,C,7.229166666666667,True
68,"BACK, Mr Charles Frederick",Male,37.0,True,Assistant Lounge Steward,Victualling Crew,False,Belfast,unknown,0.0,False
1530,"BACKSTRÖM, Mrs Maria Mathilda",Female,33.0,True,unknown,3rd Class Passenger,True,Southampton,unknown,15.85,True
69,"BACKSTRÖM, Mr Karl Alfred",Male,32.0,True,General Labourer,3rd Class Passenger,True,Southampton,unknown,15.85,False
1531,"BADMAN, Miss Emily Louisa",Female,18.0,True,Servant,3rd Class Passenger,True,Southampton,C,8.05,True
70,"BADT, Mr Mohamed",Male,40.0,True,Farmer,3rd Class Passenger,True,Cherbourg,unknown,7.2250000000000005,False
1532,"BAGGOTT, Mr Allen Marden",Male,28.0,True,Saloon Steward,Victualling Crew,False,Southampton,9,0.0,True
71,"BAGLEY, Mr Edward Henry",Male,33.0,True,Saloon Steward,Victualling Crew,False,Southampton,unknown,0.0,False
73,"BAILEY, Mr George",Male,44.0,True,Saloon Steward,Victualling Crew,False,Belfast,[161],0.0,False
72,"BAILEY, Mr George Frank",Male,46.0,True,Fireman,Engineering Crew,False,Southampton,unknown,0.0,False
1533,"BAILEY, Mr Henry Joseph",Male,46.0,True,Master-at-arms,Deck Crew,False,Southampton,16,0.0,True
74,"BAILEY, Mr Percy",Male,18.0,True,Butcher's Assistant,2nd Class Passenger,True,Southampton,unknown,11.5,False
75,"BAINBRIGGE, Mr Charles Robert",Male,22.0,True,Horse Trainer,2nd Class Passenger,True,Southampton,unknown,10.5,False
76,"BAINES, Mr Richard",Male,58.0,True,Greaser,Engineering Crew,False,Southampton,unknown,0.0,False
77,"BAKIĆ, Mr Cerin",Male,26.0,True,General Labourer,3rd Class Passenger,True,Southampton,unknown,7.895833333333333,False
1534,"BALL, Mr Percy",Male,18.0,True,Plate Steward,Victualling Crew,False,Southampton,13,0.0,True
1535,"BALLS, Mrs Ada E.",Female,36.0,True,unknown,2nd Class Passenger,True,Southampton,10,13.0,True
78,"BANEWER, Mr Solomon",Male,42.0,True,Merchant,2nd Class Passenger,True,Southampton,unknown,13.0,False
79,"BANFI, Sig. Ugo",Male,24.0,True,Waiter,Restaurant Staff,False,Southampton,unknown,0.0,False
80,"BANFIELD, Mr Frederick James",Male,28.0,True,Miner,2nd Class Passenger,True,Southampton,unknown,10.5,False
81,"BANNON, Mr John Joseph",Male,34.0,True,Greaser,Engineering Crew,False,Southampton,unknown,0.0,False
83,"BARBARA, Miss Saiide",Female,18.0,True,Housekeeper,3rd Class Passenger,True,Cherbourg,unknown,14.454166666666666,False
82,"BARBARA, Mrs Catherine David",Female,45.0,True,Housekeeper,3rd Class Passenger,True,Cherbourg,unknown,14.454166666666666,False
1536,"BARBER, Miss Ellen Mary",Female,26.0,True,Personal Maid,1st Class Passenger,True,Southampton,6,78.85,True
84,"BARKER, Mr Albert Vale",Male,19.0,True,Baker,Victualling Crew,False,Southampton,unknown,0.0,False
85,"BARKER, Mr Ernest Thomas",Male,40.0,True,Saloon Steward (1st class),Victualling Crew,False,Southampton,[159],0.0,False
86,"BARKER, Mr Reginald Lomond",Male,42.0,True,"Second Purser, 1st Class",Victualling Crew,False,Belfast,unknown,0.0,False
1537,"BARKWORTH, Mr Algernon Henry",Male,47.0,True,Justice of the Peace,1st Class Passenger,True,Southampton,B,30.0,True
88,"BARLOW, Mr Charles Henry",Male,30.0,True,Fireman,Engineering Crew,False,Southampton,unknown,0.0,False
87,"BARLOW, Mr George",Male,39.0,True,Bed Room Steward,Victualling Crew,False,Southampton,unknown,0.0,False
89,"BARNES, Mr Charles",Male,29.0,True,Fireman,Engineering Crew,False,Southampton,unknown,0.0,False
91,"BARNES, Mr Frederick Charles",Male,40.0,True,Assistant baker,Victualling Crew,False,Southampton,[26],0.0,False
90,"BARNES, Mr John",Male,39.0,True,Fireman,Engineering Crew,False,Southampton,unknown,0.0,False
92,"BARRATT, Mr Arthur",Male,16.0,False,Bell Boy,Victualling Crew,False,Southampton,unknown,0.0,False
93,"BARRETT, Mr Frederick William",Male,33.0,True,Fireman,Engineering Crew,False,Southampton,unknown,0.0,False
1538,"BARRETT, Mr Frederick William",Male,29.0,True,Leading Fireman,Engineering Crew,False,Southampton,13,0.0,True
94,"BARRINGER, Mr Arthur William",Male,34.0,True,Saloon Steward (1st class),Victualling Crew,False,Belfast,unknown,0.0,False
95,"BARROW, Mr Charles Henry John",Male,35.0,True,Assistant butcher,Victualling Crew,False,Southampton,unknown,0.0,False
96,"BARROWS, Mr Edward William Peter",Male,32.0,True,Saloon Steward,Victualling Crew,False,Southampton,unknown,0.0,False
97,"BARRY, Miss Julia",Female,32.0,True,Housekeeper,3rd Class Passenger,True,Queenstown,unknown,7.879166666666666,False
98,"BARTON, Mr David John",Male,22.0,True,General Labourer,3rd Class Passenger,True,Southampton,unknown,8.05,False
99,"BARTON, Mr Sidney John",Male,26.0,True,3rd Class Steward,Victualling Crew,False,Southampton,unknown,0.0,False
100,"BASILICO, Sig. Giovanni",Male,27.0,True,Waiter,Restaurant Staff,False,Southampton,unknown,0.0,False
1539,"BASSANI, Mrs Albina",Female,31.0,True,Personal Maid,1st Class Passenger,True,Cherbourg,8,76.29166666666667,True
101,"BATEMAN, Revd Robert James",Male,52.0,True,Priest / Minister,2nd Class Passenger,True,Southampton,[174],12.525,False
102,"BATOSHEV, Mr Hristo Lalev",Male,23.0,True,General Labourer,3rd Class Passenger,True,Southampton,unknown,7.895833333333333,False
103,"BAUMANN, Mr John David",Male,48.0,True,Businessman,1st Class Passenger,True,Cherbourg,unknown,25.924999999999997,False
1540,"BAXTER, Mrs Hélène",Female,50.0,True,unknown,1st Class Passenger,True,Cherbourg,6,247.52083333333334,True
106,"BAXTER, Mr Harry Ross",Male,53.0,True,3rd Class Steward,Victualling Crew,False,Southampton,unknown,0.0,False
104,"BAXTER, Mr Quigg Edmond",Male,24.0,True,unknown,1st Class Passenger,True,Cherbourg,unknown,247.52083333333334,False
105,"BAXTER, Mr Thomas Ferguson",Male,55.0,True,Linen Steward (1st class),Victualling Crew,False,Southampton,[235],0.0,False
108,"BAZZI, Sig. Narciso",Male,33.0,True,Waiter,Restaurant Staff,False,Southampton,unknown,0.0,False
107,"BAZZĪ, Mr Rashīd Al-Hāj 'Adb al-Husayn",Male,30.0,True,unknown,3rd Class Passenger,True,Cherbourg,unknown,7.229166666666667,False
1542,"BEANE, Mrs Ethel Louisa",Female,22.0,True,unknown,2nd Class Passenger,True,Southampton,9,26.0,True
1541,"BEANE, Mr Edward",Male,32.0,True,unknown,2nd Class Passenger,True,Southampton,9,26.0,True
110,"BEATTIE, Mr Joseph John",Male,40.0,True,Greaser,Engineering Crew,False,Belfast,unknown,0.0,False
109,"BEATTIE, Mr Thomson",Male,36.0,True,Landowner,1st Class Passenger,True,Southampton,A[331],75.24166666666667,False
1543,"BEAUCHAMP, Mr George William",Male,24.0,True,Fireman,Engineering Crew,False,Southampton,13,0.0,True
111,"BEAUCHAMP, Mr Henry James",Male,43.0,True,Club Head Steward,2nd Class Passenger,True,Southampton,unknown,26.0,False
112,"BEAVAN, Mr William Thomas",Male,20.0,True,General Labourer,3rd Class Passenger,True,Southampton,unknown,8.05,False
1544,"BECKER, Master Richard F.",Male,1.0,False,unknown,2nd Class Passenger,True,Southampton,11,39.0,True
1545,"BECKER, Miss Marion Louise",Female,4.0,False,unknown,2nd Class Passenger,True,Southampton,11,39.0,True
1546,"BECKER, Miss Ruth Elizabeth",Female,12.0,False,unknown,2nd Class Passenger,True,Southampton,13,39.0,True
1547,"BECKER, Mrs Nellie E.",Female,35.0,True,unknown,2nd Class Passenger,True,Southampton,11,39.0,True
1549,"BECKWITH, Mrs Sarah Maybell",Female,46.0,True,unknown,1st Class Passenger,True,Southampton,5,52.55416666666667,True
1548,"BECKWITH, Mr Richard Leonard",Male,37.0,True,unknown,1st Class Passenger,True,Southampton,5,52.55416666666667,True
113,"BEDFORD, Mr William Barnett",Male,31.0,True,Assistant Roast Cook,Victualling Crew,False,Southampton,unknown,0.0,False
114,"BEEDEM, Mr George Arthur",Male,35.0,True,2nd Class Bedroom Steward,Victualling Crew,False,Southampton,unknown,0.0,False
115,"BEERE, Mr William",Male,19.0,True,Kitchen Porter,Victualling Crew,False,Southampton,unknown,0.0,False
1550,"BEESLEY, Mr Lawrence",Male,34.0,True,Teacher,2nd Class Passenger,True,Southampton,13,13.0,True
1551,"BEHR, Mr Karl Howell",Male,26.0,True,unknown,1st Class Passenger,True,Cherbourg,5,30.0,True
116,"BELL, Mr Joseph",Male,51.0,True,Chief Engineer,Engineering Crew,False,Belfast,unknown,0.0,False
117,"BENDELL, Mr Frank",Male,23.0,True,Fireman,Engineering Crew,False,Southampton,unknown,0.0,False
118,"BENGTSSON, Mr Jan Viktor",Male,26.0,True,General Labourer,3rd Class Passenger,True,Southampton,unknown,7.775,False
119,"BENHAM, Mr Fred John",Male,30.0,True,Saloon Steward (2nd class),Victualling Crew,False,Southampton,unknown,0.0,False
1552,"BENNETT, Mrs Mabel Kate",Female,33.0,True,Stewardess,Victualling Crew,False,Southampton,5,0.0,True
120,"BENNETT, Mr George Alfred",Male,30.0,True,Fireman,Engineering Crew,False,Southampton,unknown,0.0,False
1553,"BENTHAM, Miss Lillian Winifred",Female,19.0,True,unknown,2nd Class Passenger,True,Southampton,12,13.0,True
121,"BENVILLE, Mr Edward",Male,47.0,True,Fireman,Engineering Crew,False,Southampton,unknown,0.0,False
122,"BERGLUND, Mr Karl Ivar Sven",Male,22.0,True,General Labourer,3rd Class Passenger,True,Southampton,unknown,9.35,False
123,"BERNARDI, Sig. Battista",Male,22.0,True,Assistant Waiter,Restaurant Staff,False,Southampton,[215],0.0,False
124,"BERRIMAN, Mr William John",Male,23.0,True,unknown,2nd Class Passenger,True,Southampton,unknown,13.0,False
125,"BESSANT, Mr Edward",Male,31.0,True,1st class baggage steward,Victualling Crew,False,Southampton,unknown,0.0,False
126,"BESSANT, Mr William Edward Lowe",Male,40.0,True,Fireman,Engineering Crew,False,Southampton,unknown,0.0,False
1554,"BESSETTE, Miss Nellie Mayo",Female,39.0,True,Personal Maid,1st Class Passenger,True,Cherbourg,8,63.358333333333334,True
127,"BEST, Mr Edwin Alfred",Male,40.0,True,Saloon Steward (1st class),Victualling Crew,False,Belfast,unknown,0.0,False
128,"BEUX, Mr David",Male,25.0,True,Assistant Waiter,Restaurant Staff,False,Southampton,unknown,0.0,False
129,"BEVIS, Mr Joseph Henry",Male,22.0,True,Trimmer,Engineering Crew,False,Southampton,unknown,0.0,False
130,"BIDDLECOMBE, MrReginald Charles",Male,31.0,True,Fireman,Engineering Crew,False,Southampton,unknown,0.0,False
1555,"BIDOIS, Miss Rosalie",Female,46.0,True,Personal Maid,1st Class Passenger,True,Cherbourg,4,247.525,True
132,"BIGGS, Mr Edward Charles",Male,20.0,True,Fireman,Engineering Crew,False,Southampton,unknown,0.0,False
133,"BILLOWS, Mr James",Male,20.0,True,Trimmer,Engineering Crew,False,Southampton,unknown,0.0,False
1556,"BING, Mr Lee",Male,32.0,True,Seaman,3rd Class Passenger,True,Southampton,C,56.49583333333334,True
1557,"BINSTEAD, Mr Walter William",Male,20.0,True,Trimmer,Engineering Crew,False,Southampton,3,0.0,True
1558,"BIRD, Miss Ellen",Female,31.0,True,Personal Maid,1st Class Passenger,True,Southampton,8,221.77916666666667,True
134,"BIRKELAND, Mr Hans Martin Monsen",Male,21.0,True,Seaman,3rd Class Passenger,True,Southampton,unknown,7.775,False
135,"BIRNBAUM, Mr Jakob",Male,24.0,True,unknown,1st Class Passenger,True,Cherbourg,[148],26.0,False
1560,"BISHOP, Mrs Helen",Female,19.0,True,unknown,1st Class Passenger,True,Cherbourg,7,91.07916666666667,True
1559,"BISHOP, Mr Dickinson H.",Male,25.0,True,unknown,1st Class Passenger,True,Cherbourg,7,91.07916666666667,True
136,"BISHOP, Mr Walter Alexander",Male,34.0,True,1st Class Bedroom Steward,Victualling Crew,False,Belfast,unknown,0.0,False
131,"BIÉTRIX, Mr George Baptiste",Male,28.0,True,Cook,Restaurant Staff,False,Southampton,unknown,0.0,False
137,"BJÖRKLUND, Mr Ernst Herbert",Male,18.0,True,General Labourer,3rd Class Passenger,True,Southampton,unknown,7.75,False
1561,"BJÖRNSTRÖM-STEFFANSSON, MrMauritz Håkan",Male,28.0,True,Businessman,1st Class Passenger,True,Southampton,D,26.55,True
139,"BLACK, Mr Alexander",Male,28.0,True,Fireman,Engineering Crew,False,Southampton,unknown,0.0,False
138,"BLACK, Mr D.",Male,41.0,True,Fireman,Engineering Crew,False,Southampton,unknown,0.0,False
140,"BLACKMAN, Mr Albert Edward",Male,23.0,True,Fireman,Engineering Crew,False,Southampton,unknown,0.0,False
141,"BLACKWELL, Mr Stephen Weart",Male,45.0,True,unknown,1st Class Passenger,True,Southampton,unknown,35.5,False
142,"BLADES, Mr Frederick Charles",Male,17.0,False,Lift Steward,Victualling Crew,False,Southampton,unknown,0.0,False
144,"BLAKE, Mr John Douglas Stanley George",Male,26.0,True,Mess Steward,Engineering Crew,False,Belfast,unknown,0.0,False
1562,"BLAKE, Mr Percival Albert",Male,22.0,True,Trimmer,Engineering Crew,False,Southampton,15,0.0,True
143,"BLAKE, Mr Thomas Henry",Male,37.0,True,Fireman,Engineering Crew,False,Southampton,unknown,0.0,False
145,"BLANEY, Mr James",Male,32.0,True,Fireman,Engineering Crew,False,Southampton,unknown,0.0,False
1563,"BLANK, Mr Henry",Male,39.0,True,Jeweller,1st Class Passenger,True,Cherbourg,7,31.0,True
146,"BLANN, Mr Eustace Horatius",Male,21.0,True,Fireman,Engineering Crew,False,Southampton,unknown,0.0,False
1564,"BLISS, Mrs Emma",Female,45.0,True,Stewardess,Victualling Crew,False,Southampton,15,0.0,True
147,"BLUMET, Mr Jean Baptiste",Male,26.0,True,Pantryman,Restaurant Staff,False,Southampton,unknown,0.0,False
148,"BOCHATAY, Mr Alexis Joseph",Male,30.0,True,Chef,Victualling Crew,False,Southampton,unknown,0.0,False
149,"BOCHET, Mr Pietro Giuseppe",Male,43.0,True,Waiter,Restaurant Staff,False,Southampton,unknown,0.0,False
150,"BOGIE, Mr Norman Leslie",Male,59.0,True,2nd Class Bedroom Steward,Victualling Crew,False,Southampton,[274],0.0,False
151,"BOLHUIS, Mr Hendrik",Male,27.0,True,Larder Cook,Restaurant Staff,False,Southampton,unknown,0.0,False
152,"BOND, Mr William John",Male,45.0,True,Bed Room Steward,Victualling Crew,False,Belfast,unknown,0.0,False
1565,"BONNELL, Miss Caroline",Female,30.0,True,unknown,1st Class Passenger,True,Southampton,8,164.86666666666667,True
1566,"BONNELL, Miss Elizabeth",Female,61.0,True,unknown,1st Class Passenger,True,Southampton,8,26.55,True
153,"BOOTHBY, Mr Walter Thomas",Male,37.0,True,2nd Class Bedroom Steward,Victualling Crew,False,Southampton,[107],0.0,False
